TCFG,unit_per_change,trend,dummy,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27
tcfg,0.018530205292439,U,,1,1,0.75,0.75,1,1,1,1,1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0018611178972896,U,,1,1,0.75,0.75,0.75,1,1,1,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.017762665499523,U,,0,0,0,0,0.25,0.75,0.75,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0078134690865582,U,,0,0,0,0,0,0.25,0.75,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.024697350130609,U,,1,0,0.75,1,0.75,0.75,0.75,0.75,1,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.014130194493198,U,,1,1,1,1,1,1,1,1,1,1,0.25,0.25,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0
tcfg,0.0020457335315574,U,,1,1,1,1,1,1,1,1,1,1,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.0077219206226328,U,,1,1,1,1,1,1,1,1,1,1,0.75,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.010383279713801,D,,1,1,1,1,1,1,1,1,1,1,0.75,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,-0.0044090111398926,D,,1,1,1,1,1,1,1,1,1,1,0.75,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,-0.025563854550928,D,,0,0,0.25,0.75,1,1,1,0.75,0.75,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0040745088256291,D,,0,0,0,0.75,0.75,1,1,1,1,1,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0073989200969413,D,,1,0,0,0.75,0.75,1,1,1,1,1,0.75,0.75,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,-0.0010733454750111,D,,1,0.25,0,0.25,0.75,0.75,1,1,1,1,0.75,0.75,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,-0.026085408571521,D,,0,0,0,0,0,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0076348213742743,D,,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.014031625393862,U,,0,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.022264580310469,U,,1,0.75,0,0,0,0,0.25,0.25,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.010130799355633,U,,1,0.75,0.25,0,0,0,0,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0029109426267127,U,,0,1,0.25,0.25,0,0,0,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0010370198812465,U,,1,0.75,1,0.25,0.25,0,0,0,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.020216907631025,U,,1,1,1,1,1,0.75,0.25,0.25,0.75,1,1,0.75,0.75,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.0047315723878821,U,,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,0.75,0.75,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,-0.0023357459445628,U,,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,0.75,0.75,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.014968246171575,D,,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,-0.020255238312016,D,,0,0,0.75,1,1,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,-0.032182580847729,D,,0,0,0,0,0,0,0,0,0,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.02494176729059,D,,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.03419862811498,D,,1,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.010792255183094,D,,1,0,0,0,0,0,0,0,0,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0022545822953027,D,,0,0.75,0,0,0,0,0,0,0,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0080749477643669,D,,0,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.019672619058378,D,,1,0.75,0.75,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0
tcfg,-0.037780470913076,D,,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.019566057993533,D,,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.021355824507724,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.010562209256706,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.092729404293723,D,,1,1,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0
tcfg,-0.023436623125762,D,,1,1,0.75,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0
tcfg,-0.019815259496668,D,,0,1,0.75,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0061064940202093,D,,0,0.25,1,0.25,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0
tcfg,0.027286165388072,D,,1,0.25,0.75,1,0.75,0.75,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0
tcfg,-0.015006630322775,D,,1,0.25,0.75,0.75,0.75,0.25,0.25,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0
tcfg,-0.050415746076179,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.019886307353958,D,,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0055653233934174,D,,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.022508104278706,D,,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.029639583915457,D,,1,1,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0
tcfg,-0.090368197022606,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0054526131900097,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.063053646309316,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.015496610890859,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.077325925810838,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.11176172791906,D,,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.027472750955685,D,,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.068195834840674,D,,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.059173594151022,D,,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.046815442313738,D,,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.035613495452699,D,,1,0.25,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0077975392044752,D,,1,1,0.25,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.050992684294551,D,,0,0.75,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0038476327130839,D,,0,0,0.75,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.035362328893193,D,,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.039589309082944,U,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.015508442949182,U,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.092345920024585,U,,1,1,0.75,0.75,0.75,0.25,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0015429513265206,U,,1,1,1,0.75,0.75,0.75,0.75,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.023255335791983,U,,1,1,1,1,1,1,0.75,0.75,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.011729016682323,U,,1,1,1,1,1,1,0.75,0.75,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.046236254373153,D,,1,1,1,1,1,1,1,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0197719316679,D,,1,1,1,1,1,1,1,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.063806821841423,D,,0,0,0,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.024170083991438,D,,0,0,0.75,0.75,1,1,0.75,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.010558839637895,D,,1,0,0.25,0.75,1,1,1,1,1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.048303526492191,D,,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.030706643878356,D,,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.01097725402544,D,,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0067320016952488,D,,1,0,0,0,0,0,0.25,0.25,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.033249564165627,D,,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.011115505723595,D,,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.040253003339589,D,,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.034803692723509,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.033270450002045,U,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.10094545302768,U,,1,0.75,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.011806006329149,U,,1,1,0.75,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.012372400039267,U,,0,1,0.75,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.025408076883767,U,,1,1,1,1,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0037810968544013,U,,1,1,1,1,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.055858988254567,U,,0,0,0.75,0.75,0.75,0.25,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.023525927094517,U,,0,0,0,0.75,0.75,0.75,0.75,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0043610645524388,U,,1,0,0,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0017336902309702,U,,1,0.25,0,0,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.054774167337347,U,,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.086837048447505,U,,1,1,0.75,0.75,0.75,0.75,1,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.015495112921374,U,,1,1,1,1,1,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.0068257655605366,D,,1,1,1,1,1,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0042707384997263,D,,1,1,1,1,1,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.027987341173674,D,,0,0,0.75,1,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0086943568421561,D,,0,0,0.75,0.75,1,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.020717842401,D,,1,0,0.25,0.75,1,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0029953901279944,D,,1,0.25,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0023967340918176,D,,0,1,0.25,0,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.0025509021690362,D,,0,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0
tcfg,-0.023106667058636,D,,0,0,0,0,0,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
