TCFG,unit_per_change,trend,dummy,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27
tcfg,-0.015897921937844,D,,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,0.0020991433839009,D,,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,0.0086524891151436,D,,1,0,0.25,0.75,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,0.0077204834333863,D,,1,1,1,1,0.75,0.75,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,0.0079300855734767,D,,1,1,1,1,1,1,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0012001382667942,D,,1,1,1,1,1,1,1,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0011543678356988,D,,1,1,1,1,1,1,1,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0076718620842572,D,,0,0.25,1,1,1,1,0.75,0.75,0.75,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0035750995107386,D,,0,0,0.25,0.75,1,1,1,0.75,0.75,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0029599736040897,D,,0,0,0,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0077819478374203,D,,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75
tcfg,-0.0054855824332244,D,,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.75,0.75,0.75,0.75
tcfg,-0.015225373909853,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.75,0.75
tcfg,-0.0041198661288369,U,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75
tcfg,0.0078088917752493,U,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75
tcfg,0.0017526284871685,U,,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75
tcfg,-0.003683241252302,U,,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75
tcfg,0.0058225961182994,U,,1,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75
tcfg,0.0013323081270945,U,,1,1,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.75,0.75
tcfg,0.00018348336774495,U,,1,1,1,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.75,0.75
