TCFG,unit_per_change,trend,dummy,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27
tcfg,-0.0023190370719187,U,,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0038035949581721,U,,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0018156514007202,U,,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.0058835627078075,U,,0,0,0.75,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.0014003355120384,U,,0,0,0.75,0.75,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0069850083772453,U,,1,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0023385139109122,D,,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.014836960880763,D,,0,0,0,0,0.25,0.75,0.75,1,1,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.013064772786298,D,,0,0,0,0,0,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.021514682575129,U,,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1
tcfg,0.0012950183480701,U,,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1
tcfg,0.0052834700927375,U,,1,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1
tcfg,-0.0055841671983763,U,,0,0.25,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1
tcfg,0.01943403715986,U,,1,1,0.75,0,0,0,0,0,0.25,0.75,0.25,0.25,0.25,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1
tcfg,0.0042393692740657,U,,1,1,1,0.25,0.25,0,0,0,0.25,0.75,0.75,0.75,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.011588817062313,U,,1,1,1,1,0.75,0.75,0.25,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0035086066569862,U,,1,1,1,1,0.75,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1
