TCFG,UserDate,Value,trend,change,dummy,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,Dummy7,Ez1,Ez2,Ez3,Ez4,Ez5,Ez6,Ez7,Ez8,Ez9,Ez10,Ez11,Ez12,Ez13,Ez14,Ez15,Ez16,Ez17,Ez18,Ez19,Ez20,Ez21,Ez22,Ez23,Ez24,Ez25,Ez26,Ez27,Ez28,Ez29,Ez30,Ez31,Ez32,Ez33,Ez34,Ez35,Ez36,Ez37,Ez38,Ez39,Ez40,Ez41,Ez42,Ez43,Ez44,Ez45,Ez46,Ez47,Ez48,Ez49,Ez50,Ez51,Ez52,Ez53,Ez54,Ez55,Ez56,Ez57,Ez58
tcfg NDX,1986-09-17,272.779999,U,0.410619097874,,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.6250,0.4167,0.3125,0.2500,0.2083,0.1786,0.1562,0.1389,0.1250,0.1136,0.1042,0.0962,0.0893,0.0833,0.0781,0.0735,0.0694,0.0658,0.0625,0.0595,0.0568,0.0543,0.0521,0.0500,0.0481,0.0463,0.0446,0.0431,0.0417,0.0403,0.0391,0.0379,0.0368,0.0357,0.0347,0.0338,0.0329,0.0321,0.0312,0.0305,0.0298,0.0291,0.0284,0.0278,0.0272,0.0266,0.0260,0.0255,0.0250,0.0245,0.0240,0.0236,0.0231,0.0227,0.0223,0.0219,0.0216
tcfg NDX,1986-09-18,276.269989,U,0.564700581756,,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0.7500,0.5625,0.4500,0.3750,0.3214,0.2812,0.2500,0.2250,0.2045,0.1875,0.1731,0.1607,0.1500,0.1406,0.1324,0.1250,0.1184,0.1125,0.1071,0.1023,0.0978,0.0938,0.0900,0.0865,0.0833,0.0804,0.0776,0.0750,0.0726,0.0703,0.0682,0.0662,0.0643,0.0625,0.0608,0.0592,0.0577,0.0563,0.0549,0.0536,0.0523,0.0511,0.0500,0.0489,0.0479,0.0469,0.0459,0.0450,0.0441,0.0433,0.0425,0.0417,0.0409,0.0402,0.0395,0.0388
tcfg NDX,1986-09-19,276.910004,U,0.115316168996,,1,1,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0.9167,0.7500,0.6000,0.5000,0.4286,0.3750,0.3333,0.3000,0.2727,0.2500,0.2308,0.2143,0.2000,0.1875,0.1765,0.1667,0.1579,0.1500,0.1429,0.1364,0.1304,0.1250,0.1200,0.1154,0.1111,0.1071,0.1034,0.1000,0.0968,0.0938,0.0909,0.0882,0.0857,0.0833,0.0811,0.0789,0.0769,0.0750,0.0732,0.0714,0.0698,0.0682,0.0667,0.0652,0.0638,0.0625,0.0612,0.0600,0.0588,0.0577,0.0566,0.0556,0.0545,0.0536,0.0526,0.0517
tcfg NDX,1986-09-22,280.23999,U,0.537956816414,,1,1,1,0.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1.0000,0.9375,0.8000,0.7083,0.6071,0.5312,0.4722,0.4250,0.3864,0.3542,0.3269,0.3036,0.2833,0.2656,0.2500,0.2361,0.2237,0.2125,0.2024,0.1932,0.1848,0.1771,0.1700,0.1635,0.1574,0.1518,0.1466,0.1417,0.1371,0.1328,0.1288,0.1250,0.1214,0.1181,0.1149,0.1118,0.1090,0.1062,0.1037,0.1012,0.0988,0.0966,0.0944,0.0924,0.0904,0.0885,0.0867,0.0850,0.0833,0.0817,0.0802,0.0787,0.0773,0.0759,0.0746,0.0733
tcfg NDX,1986-09-23,279.130005,U,-0.195492742220,,1,1,1,1,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1.0000,1.0000,0.8500,0.7500,0.6786,0.5938,0.5278,0.4750,0.4318,0.3958,0.3654,0.3393,0.3167,0.2969,0.2794,0.2639,0.2500,0.2375,0.2262,0.2159,0.2065,0.1979,0.1900,0.1827,0.1759,0.1696,0.1638,0.1583,0.1532,0.1484,0.1439,0.1397,0.1357,0.1319,0.1284,0.1250,0.1218,0.1187,0.1159,0.1131,0.1105,0.1080,0.1056,0.1033,0.1011,0.0990,0.0969,0.0950,0.0931,0.0913,0.0896,0.0880,0.0864,0.0848,0.0833,0.0819
tcfg NDX,1986-09-24,278.470001,U,-0.117677440875,,0,1,1,1,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.5000,0.6667,0.7500,0.6500,0.5833,0.5357,0.5000,0.4444,0.4000,0.3636,0.3333,0.3077,0.2857,0.2667,0.2500,0.2353,0.2222,0.2105,0.2000,0.1905,0.1818,0.1739,0.1667,0.1600,0.1538,0.1481,0.1429,0.1379,0.1333,0.1290,0.1250,0.1212,0.1176,0.1143,0.1111,0.1081,0.1053,0.1026,0.1000,0.0976,0.0952,0.0930,0.0909,0.0889,0.0870,0.0851,0.0833,0.0816,0.0800,0.0784,0.0769,0.0755,0.0741,0.0727,0.0714,0.0702,0.0690
tcfg NDX,1986-09-25,275.230011,U,-0.523935100298,,0,0,0.75,0.75,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.2500,0.3750,0.4500,0.4167,0.3929,0.3750,0.3333,0.3000,0.2727,0.2500,0.2308,0.2143,0.2000,0.1875,0.1765,0.1667,0.1579,0.1500,0.1429,0.1364,0.1304,0.1250,0.1200,0.1154,0.1111,0.1071,0.1034,0.1000,0.0968,0.0938,0.0909,0.0882,0.0857,0.0833,0.0811,0.0789,0.0769,0.0750,0.0732,0.0714,0.0698,0.0682,0.0667,0.0652,0.0638,0.0625,0.0612,0.0600,0.0588,0.0577,0.0566,0.0556,0.0545,0.0536,0.0526,0.0517
tcfg NDX,1986-09-26,275.170013,U,-0.010899179189,,0,0,0,0.75,0.75,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.1875,0.3000,0.2917,0.2857,0.2812,0.2778,0.2500,0.2273,0.2083,0.1923,0.1786,0.1667,0.1562,0.1471,0.1389,0.1316,0.1250,0.1190,0.1136,0.1087,0.1042,0.1000,0.0962,0.0926,0.0893,0.0862,0.0833,0.0806,0.0781,0.0758,0.0735,0.0714,0.0694,0.0676,0.0658,0.0641,0.0625,0.0610,0.0595,0.0581,0.0568,0.0556,0.0543,0.0532,0.0521,0.0510,0.0500,0.0490,0.0481,0.0472,0.0463,0.0455,0.0446,0.0439,0.0431
tcfg NDX,1986-09-29,271.070007,U,-0.632153578531,,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0500,0.0833,0.1071,0.1250,0.1389,0.1500,0.1364,0.1250,0.1154,0.1071,0.1000,0.0938,0.0882,0.0833,0.0789,0.0750,0.0714,0.0682,0.0652,0.0625,0.0600,0.0577,0.0556,0.0536,0.0517,0.0500,0.0484,0.0469,0.0455,0.0441,0.0429,0.0417,0.0405,0.0395,0.0385,0.0375,0.0366,0.0357,0.0349,0.0341,0.0333,0.0326,0.0319,0.0312,0.0306,0.0300,0.0294,0.0288,0.0283,0.0278,0.0273,0.0268,0.0263,0.0259
tcfg NDX,1986-09-30,274.98999,U,0.618799499594,,0,0,0,0,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0500,0.1667,0.1786,0.1875,0.1944,0.2000,0.2045,0.1875,0.1731,0.1607,0.1500,0.1406,0.1324,0.1250,0.1184,0.1125,0.1071,0.1023,0.0978,0.0938,0.0900,0.0865,0.0833,0.0804,0.0776,0.0750,0.0726,0.0703,0.0682,0.0662,0.0643,0.0625,0.0608,0.0592,0.0577,0.0563,0.0549,0.0536,0.0523,0.0511,0.0500,0.0489,0.0479,0.0469,0.0459,0.0450,0.0441,0.0433,0.0425,0.0417,0.0409,0.0402,0.0395,0.0388
